No.,Design Ref,Description,Value,Package,Qty,Notes
1,"C1, C8",Capacitor,"0,1 uF",C0402,2,
2,C2,Capacitor,"0,22 uF",C0402,1,
3,"C3, C9",Capacitor,"4,7 uF",C0402,2,
4,C4 -C7,Capacitor,10 uF,C0402,4,
5,JP1,"Pin header 2,54 - Right Angle",1x05 Female,SMD,1,4Ucon Item No: 20573
6,"JP2, JP3","Pin header 2,54 - Vertical",1x03 Male,Through Hole,2,"Mount on bottom over marks ""S+-"""
7,"LDR1, LDR2",Photocell,,GL5528,2,
8,LED1 - LED8,Led,White,1206,8,https://www.mouser.at/ProductDetail/Lumileds/L130-1070001400001?qs=sGAEpiMZZMu4Prknbu83y%252BlrQIM%2FH7mN7zy%2F4jSY2kwRefE3yX4x4g%3D%3D
9,Q1 - Q4,N-Channel Mosfet,BSS138,SOT23,4,
10,"R1, R2",Resistor,220,R0402,2,
11,R3,Resistor,1k,R0402,1,
12,"R4, R5",Resistor,47k,R0402,2,
13,R6 - R19,Resistor,10k,R0402,14,
14,"R20, R21",Resistor,2.2k,R0402,2,
15,AR1,Bussed Resistor Array,1 kOhm,1206,1,AR1 - AR4
16,SV1,"Pin header 2,54 - Straight",SFH11-PBPC-D08-ST-BK,,1,Sullins Part No: SFH11-PBPC-D08-ST-BK
17,T1,Bipolar Transistor,MMBT2222A,SOT23,1,
18,S1,Switch 2 pos - Right Angle,JS202011AQN,Through Hole,1,Mouser Part No: 611-JS202011AQN
19,U1,"Accelerometer, magnetometer IC",LSM303D,LGA3X3_16L,1,http://www.st.com/content/ccc/resource/technical/document/datasheet/1c/9e/71/05/4e/b7/4d/d1/DM00057547.pdf/files/DM00057547.pdf/jcr:content/translations/en.DM00057547.pdf
20,U2,Distance sensor 5-100mm,VL6180XV0NR/1,VL6180X,1,https://www.mouser.at/ProductDetail/STMicroelectronics/VL6180XV0NR-1?qs=sGAEpiMZZMvfFCidbTccA2Rjm2Y4lZ6g9AU2tMoApaE%3D
21,U3,Distance sensor 40-4000mm,VL53L1CXV0FY/1,LGA-12,1,https://www.mouser.at/ProductDetail/STMicroelectronics/VL53L1CXV0FY-1?qs=sGAEpiMZZMve4%2FbfQkoj%252BD6auYweTx7Mc5xqjD3cUck%3D
22,U4,Voltage regulator 2.7V,MIC5504-2.8YM5-TR,SOT23-5,1,https://www.mouser.at/ProductDetail/Microchip-Technology-Micrel/MIC5504-28YM5-TR?qs=sGAEpiMZZMsGz1a6aV8DcNranXV84HMLc85CaI5qrfY%3D
